Event,Date,Time,inMinutes,inSeconds,Position,Age.Grade,X,Y,geometry
Lordship Recreation Ground,2024-01-27,22:15,22.25,1335,33,57.98,-0.087643,51.594467,532562.299481629|190134.306551744
Hackney Marshes,2022-09-24,22:16,22.27,1336,58,57.93,-0.025995,51.554398,536952.467523652|185792.018330763
Clapham Common,2022-03-05,23:05,23.08,1385,120,55.88,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2022-01-22,23:59,23.98,1439,214,53.79,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-11-27,21:36,21.6,1296,76,59.72,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-11-06,22:05,22.08,1325,120,58.42,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-10-23,23:38,23.63,1418,166,54.58,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-10-09,24:15,24.25,1455,160,53.2,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-09-25,28:00,28,1680,323,46.07,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-09-18,23:05,23.08,1385,133,55.88,-0.152989,51.45735,528421.155898888|174769.953098416
Clapham Common,2021-08-14,25:49,25.82,1549,217,49.97,-0.152989,51.45735,528421.155898888|174769.953098416
Hilly Fields,2021-07-31,26:15,26.25,1575,90,49.14,-0.026166,51.459763,537224.437753453|175268.104109988
Burgess,2021-07-24,23:48,23.8,1428,108,54.2,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2019-04-20,21:05,21.08,1265,64,61.19,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2019-03-02,22:49,22.82,1369,160,56.76,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2019-01-12,20:13,20.22,1213,38,64.06,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2018-11-24,19:52,19.87,1192,30,65.18,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2018-11-10,20:28,20.47,1228,56,63.27,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2018-09-22,27:46,27.77,1666,269,46.64,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2018-09-15,20:40,20.67,1240,51,62.66,-0.093441,51.481719,532487.473441459|177585.850403697
Burgess,2018-09-08,21:56,21.93,1316,69,59.04,-0.093441,51.481719,532487.473441459|177585.850403697
Mile End,2018-08-25,24:24,24.4,1464,95,53.07,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-08-04,21:42,21.7,1302,50,59.68,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-07-21,22:17,22.28,1337,59,58.12,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-05-12,19:05,19.08,1145,34,67.86,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-05-05,19:15,19.25,1155,21,67.27,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-04-28,20:48,20.8,1248,40,62.26,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-04-14,20:32,20.53,1232,38,63.07,-0.034992,51.51899,536434.532429256|181837.762751257
Mile End,2018-04-07,21:16,21.27,1276,47,60.89,-0.034992,51.51899,536434.532429256|181837.762751257
