Event,Date,Run.Number,Position,Time,Age.Grade,PB
Lordship Recreation Ground,28/09/2024,103,19,20:40,62.42%, 
Lordship Recreation Ground,21/09/2024,102,18,20:33,62.77%,PB
Lordship Recreation Ground,31/08/2024,99,31,21:20,60.47%,
Lordship Recreation Ground,24/08/2024,98,15,20:53,61.77%,PB
Lordship Recreation Ground,10/08/2024,96,26,21:22,60.37%,PB
Lordship Recreation Ground,03/08/2024,95,35,23:25,55.09%,
Lordship Recreation Ground,27/07/2024,94,155,32:51,39.27%,
Lordship Recreation Ground,06/07/2024,91,41,22:41,56.87%,
Lordship Recreation Ground,29/06/2024,35,39,21:37,59.68%,PB
Finsbury Park,22/06/2024,113,136,24:02,53.68%,
Lordship Recreation Ground,13/04/2024,27,33,22:36,57.08%,
Lordship Recreation Ground,16/03/2024,27,31,22:03,58.50%,PB
Walthamstow,17/02/2024,490,27,24:22,52.94%,
Pymmes,10/02/2024,598,48,22:57,56.21%,
Lordship Recreation Ground,27/01/2024,68,33,22:15,57.98%,
Hackney Marshes,24/09/2022,567,58,22:16,57.93%,
Clapham Common,05/03/2022,119,120,23:05,55.88%,
Clapham Common,22/01/2022,114,214,23:59,53.79%,
Clapham Common,27/11/2021,108,76,21:36,59.72%,PB
Clapham Common,06/11/2021,105,120,22:05,58.42%,PB
Clapham Common,23/10/2021,103,166,23:38,54.58%,
Clapham Common,09/10/2021,101,160,24:15,53.20%,
Clapham Common,25/09/2021,100,323,28:00,46.07%,
Clapham Common,18/09/2021,99,133,23:05,55.88%,PB
Clapham Common,14/08/2021,95,217,25:49,49.97%,
Hilly Fields,31/07/2021,403,90,26:15,49.14%,
Burgess,24/07/2021,382,108,23:48,54.20%,
Burgess,20/04/2019,333,64,21:05,61.19%,
Burgess,02/03/2019,326,160,22:49,56.76%,
Burgess,12/01/2019,319,38,20:13,64.06%,
Burgess,24/11/2018,312,30,19:52,65.18%,PB
Burgess,10/11/2018,310,56,20:28,63.27%,PB
Burgess,22/09/2018,303,269,27:46,46.64%,
Burgess,15/09/2018,302,51,20:40,62.66%,PB
Burgess,08/09/2018,301,69,21:56,59.04%,
Mile End,25/08/2018,342,95,24:24,53.07%,
Mile End,04/08/2018,339,50,21:42,59.68%,
Mile End,21/07/2018,337,59,22:17,58.12%,
Mile End,12/05/2018,327,34,19:05,67.86%,PB
Mile End,05/05/2018,326,21,19:15,67.27%,PB
Mile End,28/04/2018,325,40,20:48,62.26%,
Mile End,14/04/2018,323,38,20:32,63.07%,PB
Mile End,07/04/2018,322,47,21:16,60.89%,
